EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,BusinessTravel,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,OverTime,DistanceFromHome,StandardHours,EmployeeCount,Over18,DateOfJoining,Attrition
EMP0001,53,Male,Single,Operations,Operations Analyst,Life Sciences,4,Travel_Frequently,135494,56,1176,21622,16,1,2,1,1,3,2,1,4,28,9,7,9,34,3,3,Yes,19,80,1,Y,15-11-1995,No
EMP0002,50,Male,Married,Finance,Finance Manager,Other,3,Travel_Frequently,23802,118,1338,26836,22,2,4,4,3,4,3,4,1,33,10,2,7,3,3,1,No,29,80,1,Y,22-10-1990,Yes
EMP0003,24,Male,Single,Marketing,Content Writer,Marketing,2,Travel_Rarely,49159,38,200,7737,13,0,3,4,2,1,3,4,3,16,15,14,13,27,0,4,No,1,80,1,Y,01-06-2007,No
EMP0004,55,Male,Divorced,Operations,Supply Chain Manager,Life Sciences,3,Travel_Frequently,26516,70,752,11439,21,1,5,2,1,1,4,4,2,15,15,2,12,12,1,9,No,2,80,1,Y,06-02-2008,Yes
EMP0005,48,Male,Single,Research & Development,R&D Manager,Medical,5,Travel_Frequently,65492,77,681,4573,18,3,2,1,4,1,2,1,1,1,3,1,16,29,5,9,No,26,80,1,Y,08-03-2022,No
EMP0006,34,Female,Single,Marketing,Marketing Executive,Other,2,Travel_Rarely,44086,41,799,25237,19,0,1,3,2,3,2,3,3,33,4,0,6,11,6,7,No,11,80,1,Y,02-09-1990,No
EMP0007,54,Male,Married,Marketing,Marketing Manager,Other,5,Non-Travel,128758,39,962,2125,16,0,5,4,2,4,1,1,4,7,9,2,5,2,1,6,Yes,15,80,1,Y,22-08-2016,No
EMP0008,27,Male,Single,Operations,Logistics Executive,Life Sciences,1,Non-Travel,45480,35,534,11421,12,0,2,2,4,4,2,1,1,12,13,2,8,20,4,4,No,23,80,1,Y,05-04-2011,Yes
EMP0009,45,Male,Divorced,Sales,Account Manager,Other,3,Non-Travel,143023,143,664,13403,11,0,5,4,1,3,4,2,3,7,8,6,7,39,6,6,No,1,80,1,Y,31-05-2016,No
EMP0010,40,Female,Single,Research & Development,Research Scientist,Technical Degree,4,Travel_Rarely,125195,63,1364,3306,13,3,1,2,2,4,1,4,4,29,17,11,13,0,2,4,Yes,9,80,1,Y,25-03-1994,Yes
EMP0011,37,Female,Divorced,Operations,Supply Chain Manager,Marketing,2,Travel_Frequently,53737,81,782,4101,13,2,5,1,2,2,3,3,4,31,5,14,2,17,2,6,No,8,80,1,Y,05-07-1992,No
EMP0012,49,Female,Married,Research & Development,Data Analyst,Technical Degree,3,Travel_Frequently,24265,70,336,16681,18,2,5,1,2,3,2,3,3,29,10,9,12,12,6,3,No,1,80,1,Y,01-03-1994,No
EMP0013,54,Male,Single,Research & Development,R&D Manager,Human Resources,4,Travel_Frequently,129165,112,1203,2135,15,1,1,1,2,1,3,2,1,0,16,8,8,6,2,3,Yes,10,80,1,Y,13-08-2023,Yes
EMP0014,34,Male,Married,Marketing,Content Writer,Technical Degree,1,Travel_Frequently,134501,35,1149,9311,11,3,1,1,2,4,1,2,3,16,8,11,8,12,4,9,Yes,17,80,1,Y,22-01-2007,No
EMP0015,46,Male,Single,Finance,CFO,Medical,2,Travel_Rarely,85990,31,886,19843,21,3,1,1,4,2,2,1,3,19,2,0,10,16,5,3,No,18,80,1,Y,16-06-2004,No
EMP0016,57,Male,Divorced,Research & Development,Lab Technician,Other,5,Travel_Frequently,30386,44,366,22615,14,1,4,2,1,3,1,2,3,23,15,14,5,31,3,7,Yes,16,80,1,Y,24-09-2000,No
EMP0017,48,Male,Married,IT,System Admin,Other,1,Non-Travel,119718,46,1109,26040,17,3,1,4,1,3,1,3,3,21,3,7,11,28,1,0,No,2,80,1,Y,09-06-2002,No
